,0,1
0,구리 날씨 추울까,0
1,서울 근처 휴양지 알려주세요,2
2,2월 2O일 먼지 와,3
3,경상남도 주변 계곡 추천해 줘,2
4,거제 분식집 알려주라,1
5,진짜 내일 영동 날씨 맑냐,0
6,보성 공기 미세먼지,3
7,스파게티 먹고싶어요,1
8,서울 강동구 흐리냐,0
9,광명 카페 추천해 줘,1
10,근처 유명한 맛집 추천해 줘,1
11,서울 마포 흐릴까,0
12,그럼 평창 볶음밥 식당 알려주세요,1
13,원주 관광 해볼만 한 관광지 알려주라,2
14,고양 덥니,0
15,부여 에버랜드 구경거리 가고 싶어,2
16,부천 괜찮게 하는 맛집 알고싶어,1
17,동두천 비오냐,0
18,내일 전라남도 여수 미세먼지 말해줘 ㅋ,3
19,평창 흐리냐,0
20,근처 잘 하는 맛집 알려주라,1
21,전라도 주변 강 알려줄래,2
22,모레 미세먼지,3
23,경기도 주변 단풍 어디 있니,2
24,알았으니까 근처 잘 하는 식당 알려주라,1
25,구미 그럼 먼지 심하냐고,3
26,의성 유명한 명소 알려줄래,2
27,이천 춥냐,0
28,보은 미세먼지,3
29,곡성 순대 알려줘,1
30,경상북도 주변 바닷가 추천해 줘,2
31,진짜 서울 구로구 눈 오냐,0
32,창녕 날씨 어떠냐,0
33,괜찮은 음식점 추천,1
34,사천시 스모그 미세먼지,3
35,김해 폭립 알고싶어,1
36,전라북도 주변 바다 알려줄래,2
37,내일 충청북도 진천 미세먼지 좀 말해줘,3
38,최고 셀카 찍 수 있는 휴양지 알고싶어,2
39,전통놀이 배우려면 어떻게 해야돼,2
40,모레 날씨 뭐야,0
41,익산 날씨 흐리니,0
42,하늘 해 떴니 지금,0
43,이번 주 전주 미세먼지 어떤지 알려줄래,3
44,구리 샐러드 바 추천해 주세요,1
45,ㅋㅎ 칠곡 날씨 맑냐,0
46,강원도 주변 강 알려줄래,2
47,전라남도 오존 어떤지 말해 줘봐,3
48,성북구 근처 해변 추천해 주라,2
49,곡성 가려는데 날씨 어때,0
50,완주 가봐야 하는 테마 파크 알려줄래,2
51,군포 맛 나게 하는 피자 알고싶어,1
52,곡성 날씨 알려줄 수 있니,0
53,한편 삼척시 미세먼지 알려줘,3
54,내일 먼지 깨끗하니,3
55,강원도 근처 갈대 알려줄래,2
56,그러면 단양 공기 말해줘,3
57,서울 서대문 날씨 맑니,0
58,양양 이제 우산 가져갈까,0
59,이번 주 대구 미세먼지 심할까 어떤지 알려줘,3
60,성북구 인기 많은 파스타 어디 있냐,1
61,양구 우산 챙겨야해,0
62,경산 하늘 오존 많네,3
63,영주 유명한 명소 추천해 주라,2
64,부여 눈 오니,0
65,양산 구경 할만 한 명소 알려주라,2
66,파주 날씨 어떠려나,0
67,구례 덥냐,0
68,응 정읍 공기 뭐야,3
69,고흥 꼭 가봐야 하는 명소 추천해 주라,2
70,칠곡 그러면 우산 필요할까,0
71,안동 가봐야 하는 명소 알고싶어,2
72,김포 미세먼지,3
73,광진구 주변 요리 어디였지,1
74,충청도 주변 벚꽃 추천해 주라,2
75,양주 우산 챙겨야해,0
76,설마 내일 정선 덥냐,0
77,연천 공기 좋니,3
78,혹시 그 때 종로구 날씨 어떨까,0
79,월요일 구례 마스크 챙길까 말까,3
80,전라남도 근처 꽃 어디 있니,2
81,홍천 이제 춥니,0
82,먹고싶은 시루떡 거리,1
83,서울 동대문구 초미세먼지 어떨까,3
84,마포구 비 올지 알 수 있을까,0
85,가평 갈비 맛집 알고싶어,1
86,좋은 사진 찍을만한 여행지 알려줘,2
87,광명 왔는데 여기 맛집 있을까 ㅎㅎ,1
88,해운대 방송 나온 뚝배기 알려줘,1
89,서울 관악구 곱창 맛집 알려주세요,1
90,아 오늘 영동군 날씨 뭐야,0
91,다음 주 전주 갈 건데 비 오려나,0
92,영주 빵집 추천해 주라,1
93,일산 우산 필요해,0
94,의령 고깃집 알려줘,1
95,봉화 우산 써야하니,0
96,광주 마스크 써야하니,3
97,서울 양천구 조개 알려줄래,1
98,내일 군포 여행갈건데 오존 알려줘,3
99,철원 날씨 덥니,0
100,요컨데 부안 공기 뭐야,3
101,아울러 내일 강원 속초시 날씨 알려줄래,0
102,맛있게 하는 샐러드 추천해 주세요,1
103,서산 인기 있는 후라이드 알려주라,1
104,서산 우산 필요하니,0
105,정선 우산 가져가야하니,0
106,삼척 날씨 맑니,0
107,모레 양천구 미세먼지 뭔데,3
108,송파구 근처 강 추천해 주라,2
109,부천 먼지 미세먼지,3
110,여수 그럼 눈 오냐,0
111,영천 가기 좋은 명소 알려주세요,2
112,동대문구 괜찮은 맥주 집 어디 있냐,1
113,가평군 미세먼지 심할까,3
114,옥천 유명한 빵 알려줘,1
115,내일모레 광진구 미세먼지 말해줘,3
116,잘 하는 뚝배기 알려줄래,1
117,광양 우산 가져갈까,0
118,성동구 괜찮은 피자집 추천해 주라,1
119,셀카 촬영 할만 한 휴양지,2
120,울진 날씨 추울까,0
121,서울 근처 휴양지 알고싶어,2
122,도봉 근처 바닷가 어디 있니,2
123,광명 가볼만 한 명소 알려줘,2
124,광주 마포구 마스크 필요하니,3
125,충청남도 주변 강 알고싶어,2
126,전라남도 근처 단풍 알려줄래,2
127,안성 날씨 추울까,0
128,신안 더울까,0
129,김포 상태,3
130,사우나 하기 좋은 여행지 어디 있냐,2
131,철원 그럼 날씨 맑을까,0
132,서대문구 방송 나온 스파게티 알려줄래,1
133,야 광주 튀김 맛집 알려주라,1
134,이번 주 대구 날씨 비 오는지 알려줘,0
135,제주도 근처 계곡 어디 있냐,2
136,구미 먼지 어떠냐,3
137,광명 왔는데 여기 맛집 있을까,1
138,서초구 미세먼지 어떨 것 같은데,3
139,하동 공기 공기,3
140,내일모레 서울시 노원 날씨 알려줄 수 있겠니 좀,0
141,횡성 우산 쓸까,0
142,그러면 봉화 가기 좋은 타워 알고싶어,2
143,근처 식당 알려주세요,1
144,그럼 노원 파전 맛집 추천해 주세요,1
145,울산 내일 우산 써야 하니,0
146,수제 파스타 요리 궁금해,1
147,안성 흐리냐,0
148,전라북도 주변 산 알려주라,2
149,신안 이제 공기 미세먼지,3
150,전라도 초미세먼지 어떤지 알려줄래,3
151,추억 셀카 찍 수 있는 휴양지 추천해 주세요,2
152,용인 미세먼지 심할지 말해 주세요,3
153,전라도 가봐야 하는 구경거리 알려줘,2
154,내일 청주 미세먼지 말해줄래,3
155,곡성 날씨 좋니,0
156,서울 용산구 우산 써야하니,0
157,사천 괜찮은 횟집 추천 해주세요,1
158,음성 마스크 가져갈까,3
159,유명한 야구 여행지 보여줘 봐요,2
160,종로구 초미세먼지 심할지 알려줘,3
161,의왕 갈만 한 볼링장 알려줄래,2
162,강원도 근처 바닷가 알려줘,2
163,화순 꼭 들려야 하는 명소 추천해 줘,2
164,충청도 근처 휴양지 추천해 주세요,2
165,김포 날씨 흐리냐,0
166,미세먼지 알려주겠니,3
167,혹시 오늘 시흥 맑을까,0
168,의정부 더울까,0
169,좋은 사진 찍 수 있는 여행지 어디 있냐,2
170,나주 꼭 가봐야 하는 명소 추천해 주세요,2
171,우비 입을까,0
172,청양 꼭 들려야 하는 관광지 추천 해줘,2
173,미추홀 눈 오니,0
174,화순 우산 쓸까,0
175,충청북도 근처 해변 알려주세요,2
176,가까운 동물원 여행지 어디 가야 할까요,2
177,서울 광진구 마스크 필요할까,3
178,경기도 근처 경치 알려주라,2
179,서울 용산 마스크 챙겨야 할까,3
180,성주 구경 할만 한 관광지 알려줘,2
181,구례 꼭 들려야 하는 스키장 추천 해줘,2
182,광주 강동구 마스크 필요해,3
183,모레 김천 ㅋㅋ 마스크 필요하니,3
184,홍천 추울까,0
185,고등어 조림 먹어 배고프네 좀,1
186,남양주 미세먼지 어떨까,3
187,수요일 영덕 근처 미세먼지 어때,3
188,오후 양산 맑냐,0
189,영천 갈만 한 관광지 알려줘,2
190,포항 구경 할만 한 호텔 알려줄래,2
191,서초구 제일 맛있게 하는 돼지 갈비 추천해 주세요,1
192,아 그 때 먼지 좋으려나,3
193,구로구 주변 산 추천해 주세요,2
194,강원도 근처 꽃 추천해 줘,2
195,춘천 날씨 추울까,0
196,동두천 우산 챙겨야 할까,0
197,동작구 치킨 집 추천 해주세요,1
198,아산 눈 오니,0
199,순천 토요일 마스크 필요할까,3
200,경상남도 근처 벚꽃 알려주라,2
201,오전 고흥 공기,3
202,일요일 부산 날씨 말해주라,0
203,양주 방송 나온 튀김 추천해 주라,1
204,화요일 맑겠지,0
205,성북구 잘 하는 비빔밥 알려주세요,1
206,영암 우산 필요할까,0
207,창녕 들려야 하는 명소 알려줄래,2
208,충청남도 근처 갯벌 알려주세요,2
209,내일 충청남도 아산시 날씨 알려줄래 ㅋㅋ,0
210,광주 강북구 공기상태,3
211,흑산도 가려는데 오늘 날씨 어때,0
212,이번 주 강릉 갈 것 같은데 맑아,0
213,놀기 좋은 휴식 여행지 알려주라,2
214,제주도 주변 경치 추천해 주세요,2
215,서울 동작구 초미세먼지 어떨까,3
216,은평구 제일 맛있는 고깃집 어디 있냐,1
217,안양 날씨 맑니,0
218,속초 눈 오는지 알려줘,0
219,천안 뷔페 알려줄래,1
220,부안 놀기 좋은 관광지 어디 있냐,2
221,동두천 공기 공기,3
222,남해 가까운 목욕탕 알려주라,2
223,하여튼 진주 목살 추천해 줘,1
224,청양 그럼 공기,3
225,당진 가볼만 한 관광지 추천 해주라,2
226,궁금해 마포구 날씨,0
227,주변 인기 있는 식당 알려주라,1
228,서울 미세먼지 어떤지 알 수 있을까,3
229,신안 구경 할만 한 명소 어디 있냐,2
230,전라남도 주변 꽃 추천해 주라,2
231,강동구 카페 알려주세요,1
232,홍천 눈 오니,0
233,영양 유명한 명소 추천 해주세요,2
234,종로구 맛 나게 하는 쌀국수 어디 있니,1
235,서울 강남구 날씨 맑니,0
236,중랑구 날씨 알려줄래,0
237,추억 셀카 찍 수 있는 휴양지 어디 있냐,2
238,남양주 카페 추천해 주세요,1
239,사천 공기 미세먼지,3
240,곡성 공기 어떠려나,3
241,예천 날씨 춥니,0
242,밀양 맑을까,0
243,하지만 서울 종로구 맑을까,0
244,인생 사진 촬영 할만 한 여행지 알려주라,2
245,그러면 남양주 미세먼지 심할지 말해 주세요,3
246,최고 사진 찍기 좋은 휴양지 추천해 주라,2
247,전라북도 근처 여행지 어디 있니,2
248,그럼 방배동 오늘 황사 알려줘,3
249,부평구 갈만한 절 있을까요,2
250,영등포구 곱창 집 알려주세요,1
251,완주 오늘 바람 불어,0
252,태안 삼겹살 집 추천해 줘,1
253,여수 날씨 어때,0
254,어쨋든 울진 비빔국수 알려줘,1
255,전라도 주변 산 알려줘,2
256,의정부 미세먼지,3
257,양평 들려 봐야 하는 명소 알려줘,2
258,의정부 미세먼지,3
259,지금 미세먼지 어떨까 심해지네,3
260,대전 강북구 미세먼지,3
261,경기도 초미세먼지 어떤지 알려주세요,3
262,해남 가려는데 미세먼지 어때,3
263,담양 잘 하는 맛집 알고싶어,1
264,산청 먼지 미세먼지,3
265,강북구 맛있게 하는 삼겹살 집 알려주라,1
266,구로구 괜찮게 하는 비빔냉면 알려줄래,1
267,영덕 미세먼지 어때상태 심하면 안될텐데,3
268,가까운 승마 휴양지 어디 있냐,2
269,서대문구 주변 경치 추천해 줘,2
270,오늘 삼척 미세먼지 말해줘,3
271,제천 괜찮은 식당 알려줄래,1
272,영월 눈 오냐,0
273,추억 사진 찍기 좋은 여행지 알고싶어,2
274,경기도 근처 바다 알려줄래,2
275,솔직히 의왕 맑을까,0
276,단양 구경 할만 한 명소 알려줄래,2
277,경상북도 주변 꽃 알고싶어,2
278,성주 우산 필요해,0
279,인생 셀카 찍기 좋은 여행지 알려줄래,2
280,강진 우산 필요하니,0
281,강북구 죽집 알려주라,1
282,오늘 오산 가는데 김치 찜 어디 있냐,1
283,내일모레 강북구 날씨 말해줘,0
284,ㅇㅇ 봉화 오존 어떤지 알고싶어,3
285,셀카 찍 수 있는 여행지 알려줄래,2
286,오늘 주 그러니까 김포 날씨 알려줄래,0
287,전라북도 근처 경치 알려줘,2
288,강서구 뭐 먹어야해,1
289,울릉 흐릴까,0
290,3월 17일 전주 하늘 맑니,0
291,경기도 오존 어떤지 말해 줘봐,3
292,오전 횡성 흐릴까,0
293,경상남도 비 올지 알 수 있을까,0
294,구례 우산 필요하냐,0
295,광양 해수욕장 장소 추천해 줘,2
296,백령도 가려는데 수요일 미세먼지 알려주세요,3
297,충청북도 근처 여행지 알려주세요,2
298,충청북도 주변 여행지 알려주라,2
299,예천 인기 많은 맛집 어디 있니,1
300,창녕 맥주 집 알려줄래,1
301,미세먼지 상태,3
302,전라북도 근처 꽃 추천해 주라,2
303,장흥 맑냐,0
304,용산구 제일 맛있는 케이크 식당 알려줄래,1
305,의성 놀 만 한 테마 파크 어디 있니,2
